Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
Roslagsgatan 54,3 februari 2023,14500000,15950000,Lägenhet,Bostadsrätt,3.5,103.0,Ja,5.0,1905,5202.0,,Ja,0
"Tomtebogatan 30, 6 tr",3 februari 2023,14900000,15495000,Lägenhet,Bostadsrätt,5.0,137.0,Ja,6.0,1910,5943.0,,Ja,6
"Karlbergsvägen 76, 5/5 tr.",3 februari 2023,7200000,6795000,Lägenhet,Bostadsrätt,3.0,78.0,Ja,5.0,1985,2664.0,8400.0,Ja,6
Sankt Eriksgatan 16,3 februari 2023,6750000,7100000,Lägenhet,Bostadsrätt,4.0,83.0,,,1913,5070.0,,,1
"Johannesgatan 7, 2tr.",3 februari 2023,10200000,8995000,Lägenhet,Bostadsrätt,3.0,76.0,Ja,2.0,1797,3513.0,,Ja,0
"Karlavägen 77, 3 tr",4 februari 2023,23000000,20000000,Lägenhet,Bostadsrätt,5.0,125.0,,3.0,1885,5731.0,,Ja,9
"Pilgatan 3, 3tr",4 februari 2023,14250000,12900000,Lägenhet,Bostadsrätt,4.0,126.0,Ja,3.0,1931,5790.0,,Ja,8
Norra Stationsgatan 62B,4 februari 2023,7650000,7995000,Lägenhet,Bostadsrätt,4.0,83.5,Ja,3.0,2022,4933.0,,Ja,7
Nybrogatan 61,4 februari 2023,38000000,38000000,Lägenhet,Bostadsrätt,7.0,242.0,Ja,4.0,1898,7120.0,,Ja,9
"Hagaesplanaden 78, vån 2",6 februari 2023,7500000,8450000,Lägenhet,Bostadsrätt,4.0,84.0,Ja,2.0,2023,4776.0,,Ja,6
Kungstensgatan 62,6 februari 2023,13000000,12750000,Lägenhet,Bostadsrätt,3.0,98.0,Ja,5.0,1884,4633.0,5148.0,Ja,4
Kronobergsgatan 22,6 februari 2023,7700000,7995000,Lägenhet,Andel i bostadsförening,3.0,69.0,,1.0,1911,3789.0,12400.0,,1
"Hagaesplanaden 61, 2tr",6 februari 2023,6300000,7495000,Lägenhet,Bostadsrätt,3.0,69.5,,2.0,2020,3656.0,,Ja,6
Frödingsvägen 14,7 februari 2023,4195000,4195000,Lägenhet,Bostadsrätt,3.0,61.0,Nej,0.5,1934,3757.0,12370.0,Nej,2
Grevgatan 21,7 februari 2023,10150000,10250000,Lägenhet,Bostadsrätt,3.0,79.0,,,1896,4290.0,4900.0,,3
Kungstensgatan 62,7 februari 2023,17000000,16950000,Lägenhet,Bostadsrätt,5.0,160.0,Nej,1.0,1884,7470.0,,Ja,4
"Nordenflychtsvägen 65, 6 tr",8 februari 2023,7250000,6995000,Lägenhet,Bostadsrätt,4.0,95.0,Ja,6.0,2008,4261.0,12000.0,Ja,2
Birger Jarlsgatan 115B,8 februari 2023,5850000,5750000,Lägenhet,Bostadsrätt,3.0,62.0,Nej,2.0,1913,2571.0,1800.0,Ja,0
Hagaesplanaden 80,8 februari 2023,6065000,6300000,Lägenhet,Bostadsrätt,3.0,68.5,Ja,3.0,2023,4683.0,11016.0,Ja,6
Markvardsgatan 3,8 februari 2023,6400000,6475000,Lägenhet,Bostadsrätt,3.0,64.0,Nej,1.0,1890,3152.0,,Nej,0
"Vulcanusgatan 1, 3tr",8 februari 2023,6425000,5995000,Lägenhet,Bostadsrätt,3.0,61.0,Nej,,1928,3225.0,,,6
Breitenfeldsgatan 2,8 februari 2023,18500000,17900000,Lägenhet,Bostadsrätt,4.0,124.0,Ja,1.0,1926,4875.0,,Ja,3
"Storgatan 56A, 3tr",8 februari 2023,16200000,17900000,Lägenhet,Bostadsrätt,5.0,121.0,Ja,3.0,1896,6079.0,9500.0,Nej,3
"Franzéngatan 77, 2 tr",8 februari 2023,8300000,8595000,Lägenhet,Bostadsrätt,5.0,107.5,Ja,2.0,2015,4535.0,9600.0,Ja,2
"Parkgatan 20, 1tr",8 februari 2023,11000000,11495000,Lägenhet,Bostadsrätt,4.0,114.0,Nej,1.0,1902,3989.0,14400.0,Ja,1
Sankt Eriksgatan 16,8 februari 2023,12000000,11900000,Lägenhet,Bostadsrätt,4.0,93.0,,6.0,1913,4714.0,9600.0,Ja,1
"Vegagatan 6, 2tr.",8 februari 2023,9850000,9995000,Lägenhet,Bostadsrätt,3.0,87.0,Ja,2.0,1897,4863.0,,Nej,4
"Hagagatan 4, 1 tr",9 februari 2023,15950000,16495000,Lägenhet,Bostadsrätt,5.0,175.0,Nej,1.0,1930,5779.0,18096.0,Ja,4
Drottningholmsvägen 52,9 februari 2023,6600000,6395000,Lägenhet,Bostadsrätt,3.0,71.5,Ja,5.0,2012,3172.0,2692.0,Ja,5
"Hälsingegatan 18 A, 3tr ög",9 februari 2023,7800000,0,Lägenhet,Bostadsrätt,3.0,63.0,Ja,3.0,1915,2184.0,5000.0,Ja,7
"Sankt Eriksgatan 101A, ÖG",9 februari 2023,7650000,7895000,Lägenhet,Bostadsrätt,3.0,67.0,Nej,4.0,1926,2812.0,,Nej,6
"Wennerbergsgatan 2, 3 tr",9 februari 2023,4660000,4450000,Lägenhet,Bostadsrätt,3.0,61.0,Ja,3.0,1944,4203.0,10300.0,Ja,5
"Västmannagatan 44, 4 tr",9 februari 2023,6650000,5995000,Lägenhet,Bostadsrätt,3.0,63.0,,4.0,1969,493.0,20200.0,Ja,4
Igeldammsgatan 38,9 februari 2023,5160000,4400000,Lägenhet,Bostadsrätt,3.0,57.0,,,0,3535.0,6264.0,,1
"Gävlegatan 4, 5tr",9 februari 2023,10300000,9995000,Lägenhet,Andel i bostadsförening,3.5,86.0,Ja,5.0,1928,4054.0,,Ja,6
"Karlbergsvägen 68, 1tr",10 februari 2023,7095000,7095000,Lägenhet,Bostadsrätt,3.0,71.0,,1.0,1931,2856.0,9900.0,Ja,6
Skeppargatan 20,10 februari 2023,13500000,11950000,Lägenhet,Bostadsrätt,3.0,82.0,Ja,4.0,1907,3832.0,,Ja,9
"Gästrikegatan 6, 4 tr",10 februari 2023,11500000,11475000,Lägenhet,Bostadsrätt,4.0,100.0,Ja,4.0,1896,5035.0,10800.0,Ja,6
"Vegagatan 1, 3 tr",10 februari 2023,9550000,7995000,Lägenhet,Andel i bostadsförening,3.0,73.0,Ja,3.0,1883,1925.0,9700.0,,4
Skeppargatan 51,10 februari 2023,14700000,15500000,Lägenhet,Bostadsrätt,4.0,109.0,Ja,6.0,1968,5680.0,8000.0,Ja,3
Drejargatan 6. 1 tr,10 februari 2023,6700000,6295000,Lägenhet,Bostadsrätt,3.0,64.0,,1.0,1929,3467.0,,Ja,6
Sibyllegatan 43 A,11 februari 2023,8100000,8000000,Lägenhet,Bostadsrätt,3.0,64.0,,2.0,1885,318.0,9600.0,,9
"Lenngrensgatan 2, 3tr",12 februari 2023,7900000,6995000,Lägenhet,Bostadsrätt,4.0,100.5,,,0,4267.0,11304.0,,2
Birger Jarlsgatan 93 B,12 februari 2023,11000000,9995000,Lägenhet,Bostadsrätt,3.0,77.0,Ja,,1912,3766.0,,,0
Fleminggatan 40E,13 februari 2023,5900000,5750000,Lägenhet,Bostadsrätt,3.0,66.0,Ja,5.0,1974,3099.0,10000.0,Ja,1
Karlaplan 19A,13 februari 2023,7900000,7895000,Lägenhet,Bostadsrätt,3.0,79.0,Ja,2.0,1973,3147.0,,Ja,3
Nina Einhorns gata 6,13 februari 2023,8500000,8250000,Lägenhet,Bostadsrätt,4.0,88.0,Ja,,2018,4875.0,14160.0,,6
"Johannes Plan 1, 0,5 tr",13 februari 2023,11500000,10990000,Lägenhet,Bostadsrätt,4.0,129.0,Nej,,1885,4958.0,7200.0,,0
Eriksbergsgatan 16,14 februari 2023,22600000,22500000,Lägenhet,Bostadsrätt,5.0,151.0,,2.0,1925,4286.0,,,0
Rådmansgatan 3,14 februari 2023,10750000,10750000,Lägenhet,Andel i bostadsförening,3.0,72.0,Ja,5.0,1891,4918.0,8000.0,Ja,9
"Norrtullsgatan 25 C, 3 tr",14 februari 2023,8025000,8950000,Lägenhet,Bostadsrätt,3.0,76.0,Ja,3.0,1900,3885.0,,Ja,4
"Pipersgatan 24 , 2 tr",14 februari 2023,8100000,7600000,Lägenhet,Bostadsrätt,3.0,76.0,Ja,2.0,1899,3018.0,1728.0,Nej,8
"Rörstrandsgatan 40A, 3 tr",15 februari 2023,8400000,7895000,Lägenhet,Bostadsrätt,3.0,73.0,Ja,3.0,1906,3073.0,,Nej,6
Klara Östra kyrkogata 8,15 februari 2023,17150000,16500000,Lägenhet,Bostadsrätt,5.0,188.0,Ja,2.0,1909,2314.0,,Ja,0
"Sven Rinmans gata 4, 4 tr",15 februari 2023,8265000,6950000,Lägenhet,Bostadsrätt,3.0,67.0,Ja,4.0,1930,3673.0,7500.0,Ja,1
Tegnérlunden 4,15 februari 2023,8300000,8395000,Lägenhet,Bostadsrätt,3.0,83.0,Ja,1.0,2008,1550.0,,Ja,4
Valhallavägen 78,15 februari 2023,19400000,20000000,Lägenhet,Bostadsrätt,5.0,163.0,Ja,2.0,1898,6199.0,13000.0,Ja,0
Sankt Göransgatan 152,15 februari 2023,4830000,4450000,Lägenhet,Bostadsrätt,3.0,61.0,Ja,4.0,1961,3261.0,7404.0,Ja,5
Regeringsgatan 86,15 februari 2023,17000000,14500000,Lägenhet,Bostadsrätt,4.0,121.0,Ja,3.0,1904,5170.0,6000.0,Ja,0
Östermalmsgatan 103,15 februari 2023,17300000,15800000,Lägenhet,Bostadsrätt,3.0,109.0,Ja,4.0,1924,4072.0,,Ja,3
"Lindhagensterrassen 27, vån 10",15 februari 2023,6700000,6500000,Lägenhet,Bostadsrätt,3.0,77.5,Ja,10.0,2009,3428.0,,Ja,5
"Rörstrandsgatan 60, 2 tr",15 februari 2023,9700000,8995000,Lägenhet,Bostadsrätt,3.0,85.0,Ja,2.0,1909,3533.0,,Ja,6
"Döbelnsgatan 52, 7 tr",15 februari 2023,10500000,10000000,Lägenhet,Bostadsrätt,4.0,126.5,Ja,7.0,1963,4877.0,19260.0,Ja,0
Alströmergatan 8B,16 februari 2023,7400000,7995000,Lägenhet,Bostadsrätt,3.0,92.0,Nej,,1910,3834.0,14508.0,,1
Döbelnsgatan 4,16 februari 2023,6800000,6995000,Lägenhet,Bostadsrätt,3.0,85.0,Ja,1.0,1959,4179.0,9948.0,Ja,0
Igeldammsgatan 22B,16 februari 2023,10100000,9950000,Lägenhet,Bostadsrätt,3.0,100.0,,0.5,1897,5206.0,16600.0,,1
Nybrogatan 75B,16 februari 2023,13300000,13500000,Lägenhet,Bostadsrätt,3.0,78.0,Ja,6.0,1914,3176.0,,Ja,9
"Kungsholmsgatan 22, 2 tr",16 februari 2023,7500000,6995000,Lägenhet,Bostadsrätt,4.0,78.0,Ja,2.0,1989,3179.0,7200.0,Ja,8
"Industrigatan 10, 2tr",16 februari 2023,6495000,6495000,Lägenhet,Bostadsrätt,3.0,70.0,Nej,2.0,1937,3850.0,9000.0,Ja,1
"Sveavägen 129, 3tr",16 februari 2023,6300000,5950000,Lägenhet,Bostadsrätt,3.0,67.0,Nej,3.0,1926,1972.0,16908.0,Ja,7
"Kungstensgatan 28C, 5tr",16 februari 2023,10000000,9750000,Lägenhet,Bostadsrätt,3.0,88.0,Ja,5.0,1983,2198.0,7320.0,Ja,0
"Rörstrandsgatan 56 A, 3 tr",16 februari 2023,10550000,9900000,Lägenhet,Bostadsrätt,3.5,96.0,Ja,3.0,1909,5530.0,,Ja,6
"Sankt Eriksgatan 101, 3 tr",16 februari 2023,11500000,10495000,Lägenhet,Bostadsrätt,3.5,117.0,,3.0,1926,4258.0,,Ja,6
Vikingagatan 26,17 februari 2023,11150000,10500000,Lägenhet,Andel i bostadsförening,4.0,90.0,Ja,1.0,1906,4124.0,14500.0,Nej,6
"Ynglingagatan 5, 2tr",17 februari 2023,6340000,6190000,Lägenhet,Bostadsrätt,3.0,70.0,Ja,2.0,1929,4940.0,,Ja,7
Love Almqvists väg 10,17 februari 2023,5400000,5195000,Lägenhet,Bostadsrätt,3.0,60.0,Ja,1.0,1932,2831.0,10950.0,Ja,2
"Vikingagatan 14A, 3tr",17 februari 2023,8550000,8250000,Lägenhet,Bostadsrätt,3.0,73.0,Ja,3.0,1911,2246.0,8388.0,Nej,6
"Polhemsgatan 16, 4tr",17 februari 2023,8725000,7795000,Lägenhet,Bostadsrätt,3.0,94.0,Ja,4.0,1975,3189.0,8568.0,Ja,8
Breitenfeldsgatan 2,18 februari 2023,11750000,11750000,Lägenhet,Bostadsrätt,3.5,79.0,Ja,1.5,1921,3266.0,8400.0,Ja,3
"Svarvargatan 11, 2 tr",18 februari 2023,9500000,9250000,Lägenhet,Bostadsrätt,4.0,103.0,Nej,2.0,1897,5286.0,10080.0,Ja,1
Sonja Kovalevskys Gata 8,18 februari 2023,6000000,5995000,Lägenhet,Bostadsrätt,3.0,60.5,Ja,2.0,2018,2841.0,1004.0,Ja,6
"Västmannagatan 8, 1/2 tr",19 februari 2023,8495000,7995000,Lägenhet,Bostadsrätt,4.0,82.0,Nej,1.0,1862,3799.0,6000.0,Ja,4
"Hagagatan 1, 2 tr",20 februari 2023,7100000,7300000,Lägenhet,Bostadsrätt,3.0,85.0,Nej,2.0,1974,5074.0,,Ja,4
"Lindhagensterrassen 27, 8 tr",20 februari 2023,6800000,6450000,Lägenhet,Bostadsrätt,3.0,79.0,Ja,8.0,2010,3485.0,,Ja,5
"Lars Forssells gata 16, 6 tr",20 februari 2023,9250000,9695000,Lägenhet,Bostadsrätt,5.0,108.0,Ja,6.0,2015,4649.0,9600.0,Ja,2
Kommendörsgatan 8c,20 februari 2023,13900000,13750000,Lägenhet,Bostadsrätt,4.0,135.0,,2.0,1975,5952.0,6600.0,Ja,9
Floragatan 11,21 februari 2023,14500000,15000000,Lägenhet,Bostadsrätt,3.0,107.0,Ja,5.0,1960,1681.0,,Ja,9
Norra Agnegatan 36,21 februari 2023,13050000,12900000,Lägenhet,Bostadsrätt,3.5,125.0,Ja,6.0,1906,6367.0,12000.0,Ja,8
"Hagaesplanaden 80, vån 4",21 februari 2023,8000000,8000000,Lägenhet,Bostadsrätt,4.0,84.0,Ja,4.0,2023,4776.0,1103.0,Ja,6
Karlsviksgatan 7,22 februari 2023,7700000,7995000,Lägenhet,Bostadsrätt,3.0,78.0,Nej,1.5,1929,4426.0,6600.0,Ja,1
"Alströmergatan 25, 7tr",22 februari 2023,7100000,6995000,Lägenhet,Bostadsrätt,3.0,71.0,Ja,7.0,1959,2606.0,12500.0,Ja,1
"Tomtebogatan 29, 6tr",22 februari 2023,25000000,24500000,Lägenhet,Bostadsrätt,4.0,168.0,Ja,6.0,1906,9222.0,24000.0,Ja,6
Stureparken 2,22 februari 2023,16225000,15100000,Lägenhet,Bostadsrätt,3.0,112.0,Ja,4.0,1887,2650.0,,Ja,9
Riddargatan 49A,22 februari 2023,9050000,8950000,Lägenhet,Bostadsrätt,3.0,69.0,Ja,2.0,1893,1570.0,,,3
Surbrunnsgatan 57,22 februari 2023,5650000,5495000,Lägenhet,Bostadsrätt,3.0,58.0,Nej,2.0,1974,2188.0,10950.0,Ja,4
"Karlavägen 88A, 1 tr",22 februari 2023,13025000,10000000,Lägenhet,Bostadsrätt,4.0,95.5,,,1896,3381.0,6600.0,,3
"Vegagatan 9, 1tr",22 februari 2023,10870000,9695000,Lägenhet,Bostadsrätt,4.0,100.0,Ja,1.0,1884,1248.0,,Ja,4
"Dalagatan 24, 1,5tr",22 februari 2023,10350000,9295000,Lägenhet,Bostadsrätt,3.0,82.0,Ja,1.0,1884,3829.0,7800.0,Ja,4
Västeråsgatan 11,22 februari 2023,6395000,6295000,Lägenhet,Bostadsrätt,3.0,72.0,,,1924,3818.0,,,7
Västmannagatan 22,23 februari 2023,9800000,8995000,Lägenhet,Bostadsrätt,3.0,82.0,Ja,2.0,1898,3910.0,13400.0,Ja,4
Grevgatan 19 A,23 februari 2023,10425000,9750000,Lägenhet,Bostadsrätt,3.0,80.0,Ja,2.0,1898,2932.0,,,3
Gästrikegatan 5,23 februari 2023,10150000,9500000,Lägenhet,Andel i bostadsförening,3.0,85.0,Ja,1.0,1910,2758.0,15000.0,Ja,6
Karlbergsvägen 46A,23 februari 2023,18500000,17500000,Lägenhet,Bostadsrätt,5.0,167.0,Ja,6.0,1925,3153.0,,Ja,6
Värtavägen 6,23 februari 2023,33000000,32000000,Lägenhet,Bostadsrätt,6.0,181.0,Ja,2.0,1918,9903.0,,Ja,3
"Alströmergatan 32H, 2 & 3 tr",23 februari 2023,7495000,7875000,Lägenhet,Bostadsrätt,4.5,91.0,Nej,3.0,1929,5284.0,,Nej,1
Karlbergsvägen 50,23 februari 2023,9910000,9400000,Lägenhet,Bostadsrätt,3.0,89.0,Ja,1.0,1903,3609.0,10100.0,Ja,6
Gyllenstiernsgatan 17,24 februari 2023,9900000,10750000,Lägenhet,Bostadsrätt,4.0,87.0,Ja,5.0,1951,4368.0,,Ja,3
"Kungsbro strand 25, 5tr",24 februari 2023,11325000,9700000,Lägenhet,Bostadsrätt,3.0,85.0,Ja,5.0,1936,7117.0,,Ja,8
"Bergsgatan 21, 1 tr",24 februari 2023,9800000,9495000,Lägenhet,Bostadsrätt,3.0,86.0,Ja,1.0,1884,4762.0,11700.0,Ja,8
"Torsplan 8, vån 23",24 februari 2023,15100000,15995000,Lägenhet,Bostadsrätt,3.0,81.0,Ja,23.0,2018,5420.0,,Ja,6
"Lindhagensterrassen 19, 4 tr",24 februari 2023,7550000,7850000,Lägenhet,Bostadsrätt,4.0,96.5,Ja,4.0,0,4107.0,9600.0,Ja,5
"Frejgatan 57, 3tr",24 februari 2023,7700000,7495000,Lägenhet,Bostadsrätt,3.0,68.0,Ja,3.0,1924,4265.0,9948.0,Ja,4
Nordenflychtsvägen 62,24 februari 2023,9600000,9495000,Lägenhet,Bostadsrätt,4.0,109.0,Ja,2.0,2017,3696.0,,Ja,2
"Tomtebogatan 8, 5 och 6 tr",25 februari 2023,10675000,10900000,Lägenhet,Bostadsrätt,4.0,86.0,Ja,,1903,3925.0,11400.0,,6
"Idungatan 8, 3tr",26 februari 2023,14200000,14500000,Lägenhet,Bostadsrätt,4.5,151.0,Ja,3.0,1904,6054.0,,Ja,7
Torsplan 10,26 februari 2023,9000000,9495000,Lägenhet,Bostadsrätt,3.0,78.0,Ja,,2020,5287.0,,,6
Jungfrugatan 52,26 februari 2023,6350000,6500000,Lägenhet,Bostadsrätt,3.0,56.0,,1.0,1928,2744.0,,Ja,9
"Hantverkargatan 87, 6tr -Vind",26 februari 2023,8500000,8495000,Lägenhet,Bostadsrätt,3.0,95.0,,5.0,1896,4838.0,4800.0,Ja,1
"Hagaesplanaden 80, vån 6",26 februari 2023,8000000,8295000,Lägenhet,Bostadsrätt,4.0,84.0,Ja,6.0,2023,4776.0,13464.0,Ja,6
Odengatan 85,27 februari 2023,22000000,25000000,Lägenhet,Bostadsrätt,6.0,180.0,Ja,4.0,1900,6969.0,,Ja,7
P O Hallmans gata 17,27 februari 2023,9725000,10290000,Lägenhet,Bostadsrätt,3.0,102.9,Ja,3.0,1998,4953.0,14796.0,Ja,8
Baltzar von Platens gata 7C,28 februari 2023,6100000,5195000,Lägenhet,Bostadsrätt,3.0,55.5,Nej,1.0,1930,1193.0,3000.0,Ja,1
Kungsholmsgatan 15,28 februari 2023,6785000,6995000,Lägenhet,Bostadsrätt,3.0,71.0,Ja,2.0,1936,3146.0,,Ja,8
Franzéngatan 82,28 februari 2023,8300000,7900000,Lägenhet,Bostadsrätt,4.0,102.0,Ja,2.0,2011,4761.0,2366.0,Ja,2
Markvardsgatan 6,28 februari 2023,11000000,11000000,Lägenhet,Bostadsrätt,3.0,94.0,Ja,1.0,1898,4315.0,6600.0,Nej,0
Bergsgatan 28,28 februari 2023,19000000,19750000,Lägenhet,Bostadsrätt,4.0,144.0,Ja,5.0,1896,4620.0,24500.0,Ja,8
Sonja Kovalevskys Gata 2,1 mars 2023,10000000,0,Lägenhet,Bostadsrätt,4.0,93.5,Ja,,2018,4617.0,,,6
"Hagagatan 15C, 4tr",1 mars 2023,7700000,6995000,Lägenhet,Bostadsrätt,3.0,77.0,Ja,4.0,1979,3930.0,7700.0,Ja,4
Valhallavägen 49,1 mars 2023,6620000,5995000,Lägenhet,Bostadsrätt,3.0,61.0,Ja,3.0,1931,3247.0,11172.0,Ja,0
Blekholmsterrassen 9,2 mars 2023,5700000,5495000,Lägenhet,Bostadsrätt,3.0,67.5,,,1994,5216.0,5400.0,,8
Västmannagatan 53,2 mars 2023,10300000,9500000,Lägenhet,Bostadsrätt,3.0,88.0,Ja,1.0,1885,3212.0,16400.0,Ja,4
Grevgatan 22,2 mars 2023,22800000,24750000,Lägenhet,Bostadsrätt,5.0,160.0,,2.0,1890,5098.0,,,3
"Norra Stationsgatan 62B, Vån 5",2 mars 2023,7700000,7700000,Lägenhet,Bostadsrätt,4.0,83.5,Ja,5.0,2022,4933.0,10848.0,Ja,7
Sturegatan 40,2 mars 2023,10300000,10500000,Lägenhet,Bostadsrätt,3.0,74.0,Ja,2.0,1883,4174.0,,Ja,9
"Roslagsgatan 9, 3 tr",2 mars 2023,14600000,15000000,Lägenhet,Bostadsrätt,4.0,117.0,,3.0,1905,4577.0,,,0
"Franzéngatan 52, vån 8",2 mars 2023,7000000,6695000,Lägenhet,Bostadsrätt,3.0,79.0,Ja,8.0,2013,3582.0,9468.0,Ja,2
"Lidnersgatan 5, 2tr",3 mars 2023,5550000,5195000,Lägenhet,Bostadsrätt,3.0,60.0,Ja,2.0,1932,2865.0,,Ja,2
Jungfrugatan 19,3 mars 2023,10700000,10500000,Lägenhet,Bostadsrätt,4.0,71.0,Nej,2.0,1966,2368.0,,Ja,9
"Alströmergatan 25, 4 tr",3 mars 2023,7450000,7350000,Lägenhet,Bostadsrätt,4.0,74.5,Ja,4.0,1959,2760.0,,Ja,1
Vikingagatan 27,3 mars 2023,8675000,0,Lägenhet,Bostadsrätt,3.0,72.0,Nej,2.0,1929,2752.0,,Ja,6
Skeppargatan 37,4 mars 2023,18600000,19000000,Lägenhet,Bostadsrätt,4.0,122.0,,2.0,1907,5050.0,,,9
"Torsplan 8, vån 17",4 mars 2023,14000000,13950000,Lägenhet,Bostadsrätt,4.0,98.0,Ja,,2018,6320.0,10812.0,,6
"Tomtebogatan 32A, 1 tr ög",4 mars 2023,8500000,8395000,Lägenhet,Bostadsrätt,3.0,84.0,Ja,1.0,1909,4829.0,,Ja,6
Hjalmar Söderbergs väg 2,5 mars 2023,6900000,6995000,Lägenhet,Bostadsrätt,4.0,82.0,Ja,3.0,2020,4433.0,,Ja,2
"Upplandsgatan 74, 3 tr",6 mars 2023,8375000,8375000,Lägenhet,Bostadsrätt,3.0,79.4,Nej,3.0,1906,3567.0,14400.0,Ja,7
"Rålambsvägen 69, 2tr",6 mars 2023,4900000,4695000,Lägenhet,Bostadsrätt,3.0,55.0,Ja,2.0,1935,3460.0,8748.0,Ja,2
"Tomtebogatan 38, 3 tr",6 mars 2023,9750000,9595000,Lägenhet,Bostadsrätt,3.0,94.0,Ja,3.0,1906,4150.0,,Ja,6
"Skeppargatan 51, 1tr",7 mars 2023,10325000,10195000,Lägenhet,Bostadsrätt,4.0,93.0,,1.0,1968,4818.0,6600.0,Ja,3
"Karlbergsvägen 33, 2 tr.",7 mars 2023,9750000,8250000,Lägenhet,Bostadsrätt,3.0,74.0,Ja,2.0,1900,3588.0,18840.0,Ja,6
Sveavägen 136,8 mars 2023,7995000,8495000,Lägenhet,Bostadsrätt,3.0,81.5,Nej,1.0,1936,2667.0,,Ja,4
"Roslagsgatan 13A, 2tr",8 mars 2023,11225000,10300000,Lägenhet,Bostadsrätt,4.0,100.0,,2.0,1907,5838.0,9000.0,Ja,0
Tomtebogatan 42,8 mars 2023,8950000,9475000,Lägenhet,Bostadsrätt,4.0,91.0,Nej,1.0,1907,3606.0,18480.0,Ja,6
"Bergsgatan 57 B, Över Gård",8 mars 2023,6025000,5250000,Lägenhet,Bostadsrätt,3.0,63.0,Nej,1.0,1905,1591.0,12708.0,Ja,8
"Västmannagatan 77, 4tr",8 mars 2023,8215000,7250000,Lägenhet,Bostadsrätt,3.0,68.0,Ja,4.0,1903,3195.0,,Ja,7
Kammakargatan 50,9 mars 2023,5450000,5500000,Lägenhet,Bostadsrätt,3.0,69.0,Nej,0.5,0,5514.0,7200.0,Ja,4
"Ångströmsgatan 9, 3 tr",9 mars 2023,9000000,8450000,Lägenhet,Bostadsrätt,4.0,92.0,Ja,3.0,1997,4998.0,5400.0,Ja,8
"Roslagsgatan 54, 4 tr",9 mars 2023,10725000,0,Lägenhet,Bostadsrätt,3.0,92.0,Ja,4.0,1904,4814.0,12262.0,Ja,0
"Garvargatan 17, 4 tr/Kungsholmstorg 3D",9 mars 2023,11630000,10500000,Lägenhet,Bostadsrätt,4.0,99.0,,4.0,1985,3665.0,7200.0,,8
"Gjörwellsgatan 15, 1tr",9 mars 2023,4995000,4995000,Lägenhet,Bostadsrätt,3.0,76.9,Ja,1.0,1944,4931.0,6384.0,Ja,5
Fleminggatan 91,9 mars 2023,5900000,5495000,Lägenhet,Bostadsrätt,3.0,61.0,Nej,0.5,1901,3115.0,9000.0,Ja,1
"Odengatan 71, 6tr",9 mars 2023,7020000,6950000,Lägenhet,Bostadsrätt,3.0,70.0,Ja,6.0,1929,4150.0,5400.0,Ja,4
Östermalmsgatan 16,10 mars 2023,20250000,22000000,Lägenhet,Andel i bostadsförening,5.0,139.0,Ja,1.0,1917,7116.0,,Nej,0
"Torsplan 10, våning 5",10 mars 2023,10495000,10495000,Lägenhet,Bostadsrätt,3.5,95.0,Ja,5.0,2020,5379.0,,Ja,6
Ruddammsbacken 28,10 mars 2023,8500000,8500000,Lägenhet,Bostadsrätt,4.0,106.0,Ja,,1939,6632.0,,,0
Surbrunnsgatan 16,10 mars 2023,7050000,6495000,Lägenhet,Bostadsrätt,3.0,66.0,Nej,1.0,1907,3289.0,9240.0,Ja,0
"Rådmansgatan 74, 3tr",10 mars 2023,9800000,9475000,Lägenhet,Bostadsrätt,3.0,91.0,Ja,3.0,1879,2970.0,13800.0,Ja,4
John Ericssonsgatan 11B,11 mars 2023,7500000,7495000,Lägenhet,Bostadsrätt,3.0,73.0,Ja,2.0,1935,4236.0,,Ja,8
Franzéngatan 52,12 mars 2023,6995000,6995000,Lägenhet,Bostadsrätt,3.0,79.0,Ja,3.0,2011,3582.0,8520.0,Ja,2
Linnégatan 39A,13 mars 2023,9450000,8950000,Lägenhet,Bostadsrätt,4.0,65.0,,3.0,1900,3283.0,,,9
Danderydsgatan 30,13 mars 2023,16200000,17500000,Lägenhet,Bostadsrätt,4.0,113.0,Ja,1.5,1903,4184.0,16400.0,Ja,0
"Lustgårdsgatan 4, 3tr",13 mars 2023,6550000,5895000,Lägenhet,Bostadsrätt,3.0,84.0,Ja,3.0,2011,4324.0,11028.0,Ja,5
Surbrunnsgatan 7,14 mars 2023,10500000,9995000,Lägenhet,Andel i bostadsförening,3.0,107.0,,,1897,3664.0,7200.0,,0
"Östermalmsgatan 57, 1,5",14 mars 2023,7425000,6950000,Lägenhet,Bostadsrätt,3.0,64.0,Ja,1.5,1883,2834.0,8000.0,Ja,9
Värtavägen 16,14 mars 2023,23000000,19000000,Lägenhet,Bostadsrätt,4.0,130.0,Ja,6.0,1929,5334.0,,Ja,3
"Rålambsvägen 16A, 4 Tr",14 mars 2023,6590000,5795000,Lägenhet,Bostadsrätt,3.0,77.5,Ja,4.0,1989,4394.0,12370.0,Ja,5
Atlasgatan 6,14 mars 2023,11900000,12195000,Lägenhet,Bostadsrätt,4.0,106.0,Ja,,1929,3896.0,,,6
