Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
"Fleminggatan 60, VINDSVÅNING!",6 september 2022,4350000,3995000,Lägenhet,Bostadsrätt,1.0,34.0,Ja,4.0,1884,2191.0,,Nej,1
"Sveavägen 140, 4tr",6 september 2022,3050000,2850000,Lägenhet,Bostadsrätt,1.0,24.0,Nej,4.0,1929,600.0,,Ja,4
Stagneliusvägen 26,6 september 2022,3175000,2995000,Lägenhet,Bostadsrätt,1.0,35.0,Ja,3.0,1937,2468.0,,Ja,5
Tomtebogatan 39A - 4 tr!,7 september 2022,3345000,3295000,Lägenhet,Bostadsrätt,1.0,31.0,Nej,4.0,1911,1665.0,4000.0,Nej,6
"Birger Jarlsgatan 104 A, 4 tr",7 september 2022,2400000,2395000,Lägenhet,Bostadsrätt,1.0,19.0,Nej,4.0,1929,1580.0,4048.0,Ja,0
Lindhagensterrassen 9,7 september 2022,3395000,3395000,Lägenhet,Bostadsrätt,1.0,39.0,Ja,13.0,2009,2007.0,7200.0,Ja,5
"Hälsingegatan 3A, ÖG 5/9 kl 17.00-17.30",7 september 2022,2610000,2550000,Lägenhet,Andel i bostadsförening,1.0,19.0,Nej,,1885,620.0,3600.0,,7
"Rörstrandsgatan 35, 3tr",7 september 2022,2950000,2995000,Lägenhet,Bostadsrätt,1.0,27.0,,3.0,1929,829.0,,Ja,6
"Klara Tvärgränd 5, 5tr.",7 september 2022,3300000,3495000,Lägenhet,Bostadsrätt,1.0,40.5,,5.0,0,2788.0,,Ja,0
Grevgatan 51,8 september 2022,3200000,3600000,Lägenhet,Bostadsrätt,1.0,26.0,,2.0,1939,1394.0,4600.0,Ja,3
Hagaesplanaden 61,8 september 2022,2975000,3195000,Lägenhet,Bostadsrätt,1.0,31.5,Nej,,2022,2050.0,,,6
"Sveavägen 97, 2,5tr",8 september 2022,3050000,2700000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,2.0,1926,1440.0,2400.0,Ja,4
"John Ericssonsgatan 11B, vån 5",8 september 2022,3300000,2995000,Lägenhet,Bostadsrätt,1.0,31.0,Ja,5.0,1935,1878.0,4560.0,Ja,8
Gästrikegatan 18A,9 september 2022,3170000,3095000,Lägenhet,Bostadsrätt,1.0,30.0,Nej,,1901,1242.0,4000.0,,6
Markvardsgatan 1,9 september 2022,4260000,4200000,Lägenhet,Bostadsrätt,1.0,37.0,Ja,3.0,1891,853.0,4200.0,Ja,0
Polhemsgatan 38,9 september 2022,2920000,2850000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,0.5,1937,1605.0,3000.0,Ja,8
Västmannagatan 12 B,9 september 2022,3700000,0,Lägenhet,Bostadsrätt,1.0,38.0,,1.0,1909,1585.0,,,4
Fleminggatan 81,9 september 2022,3425000,3195000,Lägenhet,Bostadsrätt,1.0,32.0,Ja,2.0,1898,1347.0,,Ja,1
"Odengatan 49, 4tr",9 september 2022,2780000,2495000,Lägenhet,Bostadsrätt,1.0,20.0,,4.0,1921,363.0,,Ja,4
"Bråvallagatan 8, 2tr",10 september 2022,3150000,2795000,Lägenhet,Bostadsrätt,1.0,27.0,,2.0,1928,2157.0,,Ja,6
Birger Jarlsgatan 104 C,12 september 2022,3150000,3150000,Lägenhet,Bostadsrätt,1.0,32.0,,2.0,1928,2201.0,8100.0,Nej,0
"John Ericssonsgatan 7, 3tr",14 september 2022,3625000,3495000,Lägenhet,Bostadsrätt,1.0,38.0,Nej,3.0,1934,2079.0,5400.0,Ja,8
Alströmergatan 51,14 september 2022,2790000,2495000,Lägenhet,Bostadsrätt,1.0,21.0,Ja,5.0,1929,1266.0,4000.0,Ja,1
Gyllenborgsgatan 18,14 september 2022,2875000,2450000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,2.0,1928,1517.0,2500.0,Nej,5
"John Ericssonsgatan 11 B, 4tr",15 september 2022,3300000,2995000,Lägenhet,Bostadsrätt,1.0,31.0,Ja,4.0,0,1878.0,5400.0,Ja,8
Vikingagatan 26,15 september 2022,3200000,3250000,Lägenhet,Andel i bostadsförening,1.0,30.0,Nej,,1907,1303.0,4000.0,,6
Brahegatan 12,15 september 2022,3535000,3475000,Lägenhet,Bostadsrätt,1.0,26.0,,0.5,1938,1197.0,,Ja,9
